"CTstrict","predicted.celltype.l2","orig.ident","n"
"IGH.141.IGHV4-61_IGLC:Cluster.12.IGKV1D-13","B naive","P1042MED",1
"IGH.1410.IGHV3-23_IGLC:Cluster.28.IGLV1-47","B intermediate","P1043CD3",1
"IGH.1411.IGHV3-21_IGLC:Cluster.13.IGKV1D-39","Plasmablast","P1043CD3",1
"IGH.1412.IGHV4-39_IGLC:Cluster.13.IGKV1D-39","B naive","P1043CD3",1
"IGH.1413.IGHV4-39_IGLC:Cluster.21.IGKV3-20","Plasmablast","P1043CD3",1
"IGH.1415.IGHV1-2_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043CD3",1
"IGH.1416.IGHV2-5_IGLC.38.IGKV1D-13","B memory","P1043CD3",1
"IGH.1417.IGHV4-39_IGLC:Cluster.13.IGKV1D-39","CD4 TCM","P1043CD3",1
"IGH.1418.IGHV3-21_IGLC:Cluster.13.IGKV1D-39","CD4 TCM","P1043CD3",3
"IGH.1419.IGHV1-46_IGLC:Cluster.7.IGKV1-12","B memory","P1043CD3",1
"IGH.142.IGHV1-3_NA.NA","B naive","P1042MED",1
"IGH.1420.IGHV3-53_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043CD3",1
"IGH.1421.IGHV3-48_IGLC:Cluster.20.IGKV3-15","B memory","P1043CD3",1
"IGH.1422.IGHV4-34_IGLC:Cluster.21.IGKV3-20","B intermediate","P1043CD3",1
"IGH.1423.IGHV4-39_IGLC:Cluster.30.IGLV2-14","B memory","P1043CD3",1
"IGH.1424.IGHV3-11_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1425.IGHV5-51_NA.NA","B intermediate","P1043CD3",1
"IGH.1428.IGHV4-39_IGLC:Cluster.13.IGKV1D-39","B memory","P1043CD3",1
"IGH.143.IGHV3-53_NA.NA","B intermediate","P1042MED",1
"IGH.1430.IGHV3-21_IGLC:Cluster.17.IGKV2D-29","B memory","P1043CD3",1
"IGH.1434.IGHV4-31_IGLC:Cluster.28.IGLV1-44","CD4 TCM","P1043CD3",1
"IGH.1435.IGHV1-18_NA.NA","B intermediate","P1043CD3",1
"IGH.1436.IGHV3-53_IGLC:Cluster.1.IGKV1-5","B intermediate","P1043CD3",1
"IGH.1437.IGHV1-69-2_NA.NA","B intermediate","P1043CD3",1
"IGH.144.IGHV4-59_NA.NA","B naive","P1042MED",1
"IGH.1441.IGHV1-3_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1442.IGHV3-23_IGLC:Cluster.21.IGKV3-20","Plasmablast","P1043CD3",1
"IGH.1443.IGHV1-69-2_IGLC:Cluster.10.IGKV1-33","B memory","P1043CD3",1
"IGH.1446.IGHV3-21_IGLC:Cluster.23.IGKV4-1","Plasmablast","P1043CD3",1
"IGH.1447.IGHV3-15_NA.NA","B memory","P1043CD3",1
"IGH.1449.IGHV3-30_NA.NA","B naive","P1043CD3",1
"IGH.145.IGHV3-21_IGLC:Cluster.13.IGKV1D-39","B naive","P1042MED",1
"IGH.1450.IGHV4-61_IGLC:Cluster.23.IGKV4-1","B naive","P1043CD3",1
"IGH.1451.IGHV1-69-2_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043CD3",1
"IGH.1452.IGHV4-39_IGLC:Cluster.34.IGLV3-1","B intermediate","P1043CD3",1
"IGH.1454.IGHV4-34_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043CD3",1
"IGH.1455.IGHV4-4_IGLC:Cluster.19.IGKV3-11","Plasmablast","P1043CD3",1
"IGH.1459.IGHV3-21_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043CD3",1
"IGH.146.IGHV4-34_NA.NA","B intermediate","P1042MED",1
"IGH.1463.IGHV2-5_NA.NA","Plasmablast","P1043CD3",1
"IGH.1464.IGHV3-74_IGLC:Cluster.21.IGKV3-20","B naive","P1043CD3",1
"IGH.1465.IGHV3-33_IGLC:Cluster.20.IGKV3-15","B intermediate","P1043CD3",1
"IGH.1467.IGHV4-34_IGLC:Cluster.28.IGLV1-44","Plasmablast","P1043CD3",1
"IGH.1468.IGHV3-15_NA.NA","B intermediate","P1043CD3",1
"IGH.1469.IGHV4-59_IGLC:Cluster.1.IGKV1-5","Plasmablast","P1043CD3",1
"IGH.147.IGHV1-69_IGLC:Cluster.21.IGKV3-20","B naive","P1042MED",1
"IGH.1470.IGHV3-21_IGLC:Cluster.4.IGKV1-8","B intermediate","P1043CD3",1
"IGH.1473.IGHV3-15_IGLC:Cluster.23.IGKV4-1","B intermediate","P1043CD3",1
"IGH.1473.IGHV3-15_IGLC:Cluster.23.IGKV4-1","CD4 TCM","P1043CD3",1
"IGH.1475.IGHV1-2_NA.NA","Plasmablast","P1043CD3",1
"IGH.1477.IGHV2-5_NA.NA","Plasmablast","P1043CD3",1
"IGH.1480.IGHV2-5_NA.NA","B intermediate","P1043CD3",1
"IGH.1481.IGHV3-23_NA.NA","B intermediate","P1043CD3",1
"IGH.1483.IGHV4-61_IGLC:Cluster.24.IGKV5-2","B memory","P1043CD3",1
"IGH.1484.IGHV3-23_IGLC:Cluster.4.IGKV1-8","B memory","P1043CD3",1
"IGH.1485.IGHV3-23_IGLC.40.IGLV2-11","B intermediate","P1043CD3",1
"IGH.1487.IGHV2-5_IGLC:Cluster.18.IGKV2D-40","CD4 TCM","P1043CD3",1
"IGH.1488.IGHV1-2_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1489.IGHV4-61_IGLC:Cluster.21.IGKV3D-20","CD4 TCM","P1043CD3",1
"IGH.1491.IGHV2-5_NA.NA","B naive","P1043CD3",1
"IGH.1495.IGHV2-70_IGLC:Cluster.13.IGKV1D-39","CD4 TCM","P1043CD3",1
"IGH.1496.IGHV4-59_IGLC:Cluster.13.IGKV1D-39","B memory","P1043CD3",1
"IGH.1498.IGHV3-43_IGLC:Cluster.21.IGKV3-20","CD4 TCM","P1043CD3",1
"IGH.1499.IGHV3-33_NA.NA","B naive","P1043CD3",1
"IGH.15.IGHV3-66_NA.NA","B intermediate","P1042MED",1
"IGH.1500.IGHV1-69-2_IGLC:Cluster.16.IGKV2D-28","B memory","P1043CD3",1
"IGH.1501.IGHV2-5_NA.NA","Plasmablast","P1043CD3",1
"IGH.1502.IGHV3-23_IGLC:Cluster.18.IGKV2D-40","B naive","P1043CD3",1
"IGH.1503.IGHV1-24_IGLC:Cluster.23.IGKV4-1","cDC2","P1043CD3",1
"IGH.1504.IGHV3-11_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1507.IGHV4-59_IGLC:Cluster.21.IGKV3-20","CD4 TCM","P1043CD3",1
"IGH.1508.IGHV4-34_NA.NA","B memory","P1043CD3",1
"IGH.151.IGHV1-18_IGLC:Cluster.13.IGKV1D-39","B naive","P1042MED",1
"IGH.1513.IGHV4-34_IGLC:Cluster.21.IGKV3-20","B intermediate","P1043CD3",1
"IGH.1515.IGHV1-18_NA.NA","B intermediate","P1043CD3",1
"IGH.1517.IGHV3-33_NA.NA","Plasmablast","P1043CD3",1
"IGH.1518.IGHV1-69-2_IGLC.43.IGLV4-69","B intermediate","P1043CD3",1
"IGH.1519.IGHV1-69_IGLC:Cluster.20.IGKV3-15","B intermediate","P1043CD3",1
"IGH.1520.IGHV3-49_IGLC:Cluster.32.IGLV2-23","CD4 TCM","P1043CD3",1
"IGH.1522.IGHV1-69-2_IGLC:Cluster.21.IGKV3-20","B intermediate","P1043CD3",1
"IGH.1523.IGHV4-59_NA.NA","B memory","P1043CD3",1
"IGH.1524.IGHV4-34_IGLC:Cluster.20.IGKV3-15","B intermediate","P1043CD3",1
"IGH.1525.IGHV6-1_IGLC:Cluster.20.IGKV3-15","CD4 TCM","P1043CD3",1
"IGH.1526.IGHV1-69-2_NA.NA","B memory","P1043CD3",1
"IGH.1527.IGHV4-31_NA.NA","NK Proliferating","P1043CD3",1
"IGH.1528.IGHV4-39_IGLC:Cluster.29.IGLV2-11","CD4 TCM","P1043CD3",1
"IGH.1529.IGHV4-4_IGLC:Cluster.1.IGKV1-5","Plasmablast","P1043CD3",1
"IGH.153.IGHV3-23_IGLC:Cluster.1.IGKV1-5","B naive","P1042MED",1
"IGH.1530.IGHV4-31_NA.NA","B intermediate","P1043CD3",1
"IGH.1531.IGHV1-18_IGLC:Cluster.21.IGKV3-20","B naive","P1043CD3",1
"IGH.1532.IGHV1-46_NA.NA","B intermediate","P1043CD3",1
"IGH.1535.IGHV4-39_IGLC:Cluster.19.IGKV3-11","Plasmablast","P1043CD3",1
"IGH.1537.IGHV3-30_IGLC:Cluster.21.IGKV3-20","CD4 TCM","P1043CD3",1
"IGH.1540.IGHV3-7_IGLC:Cluster.20.IGKV3-15","B memory","P1043CD3",1
"IGH.1546.IGHV4-34_IGLC:Cluster.21.IGKV3-20","B intermediate","P1043CD3",1
"IGH.1547.IGHV2-5_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043CD3",1
"IGH.1548.IGHV1-2_IGLC:Cluster.23.IGKV4-1","B memory","P1043CD3",1
"IGH.1549.IGHV1-69-2_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043CD3",1
"IGH.155.IGHV1-69-2_NA.NA","B naive","P1042MED",1
"IGH.1550.IGHV3-33_IGLC:Cluster.13.IGKV1D-39","Plasmablast","P1043CD3",1
"IGH.1551.IGHV4-34_NA.NA","B naive","P1043CD3",1
"IGH.1553.IGHV4-39_IGLC:Cluster.13.IGKV1D-39","Plasmablast","P1043CD3",1
"IGH.1554.IGHV4-34_IGLC:Cluster.13.IGKV1D-39","B naive","P1043CD3",1
"IGH.1555.IGHV3-43_IGLC:Cluster.21.IGKV3-20","B memory","P1043CD3",1
"IGH.1556.IGHV1-69_IGLC:Cluster.20.IGKV3-15","B intermediate","P1043CD3",1
"IGH.1557.IGHV3-33_IGLC:Cluster.17.IGKV2D-29","B memory","P1043CD3",1
"IGH.156.IGHV4-34_IGLC:Cluster.13.IGKV1D-39","B naive","P1042MED",1
"IGH.1560.IGHV1-69-2_IGLC:Cluster.23.IGKV4-1","B intermediate","P1043CD3",1
"IGH.1561.IGHV3-23_NA.NA","B intermediate","P1043CD3",1
"IGH.1562.IGHV1-46_IGLC:Cluster.36.IGLV3-19","CD4 TCM","P1043CD3",1
"IGH.1563.IGHV3-21_IGLC:Cluster.20.IGKV3-15","B intermediate","P1043CD3",1
"IGH.1564.IGHV3-23_IGLC:Cluster.20.IGKV3-15","B intermediate","P1043CD3",1
"IGH.1565.IGHV3-33_NA.NA","B naive","P1043CD3",1
"IGH.1566.IGHV3-74_IGLC:Cluster.4.IGKV1-8","Plasmablast","P1043CD3",1
"IGH.1568.IGHV3-23_IGLC:Cluster.16.IGKV2D-28","B intermediate","P1043CD3",1
"IGH.157.IGHV2-5_IGLC:Cluster.10.IGKV1-33","B naive","P1042MED",1
"IGH.1571.IGHV3-33_IGLC.45.IGKV3-15","Plasmablast","P1043CD3",1
"IGH.1572.IGHV3-43_IGLC:Cluster.1.IGKV1-5","Plasmablast","P1043CD3",1
"IGH.1573.IGHV1-2_IGLC:Cluster.16.IGKV2D-28","CD4 Proliferating","P1043CD3",1
"IGH.1574.IGHV3-66_IGLC:Cluster.21.IGKV3-20","CD4 TCM","P1043CD3",1
"IGH.1575.IGHV4-39_NA.NA","Plasmablast","P1043CD3",1
"IGH.1577.IGHV4-59_NA.NA","B intermediate","P1043CD3",1
"IGH.1580.IGHV4-39_IGLC:Cluster.1.IGKV1-5","CD4 TCM","P1043CD3",1
"IGH.1581.IGHV2-5_NA.NA","Plasmablast","P1043CD3",1
"IGH.1584.IGHV4-4_IGLC:Cluster.19.IGKV3-11","B intermediate","P1043CD3",1
"IGH.1585.IGHV2-5_IGLC:Cluster.23.IGKV4-1","B memory","P1043CD3",1
"IGH.1588.IGHV3-43_NA.NA","CD4 TCM","P1043CD3",1
"IGH.159.IGHV3-23_NA.NA","B naive","P1042MED",1
"IGH.1590.IGHV4-34_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1593.IGHV4-39_IGLC:Cluster.19.IGKV3-11","CD4 TCM","P1043CD3",1
"IGH.1594.IGHV4-4_NA.NA","Plasmablast","P1043CD3",1
"IGH.1595.IGHV5-51_IGLC:Cluster.10.IGKV1-33","Plasmablast","P1043CD3",1
"IGH.1599.IGHV4-61_IGLC:Cluster.11.IGKV1D-8","CD4 Proliferating","P1043CD3",1
"IGH.1600.IGHV1-69-2_IGLC:Cluster.8.IGKV1-17","B memory","P1043CD3",1
"IGH.1601.IGHV5-51_NA.NA","B memory","P1043CD3",1
"IGH.1602.IGHV2-26_IGLC:Cluster.21.IGKV3-20","CD4 TCM","P1043CD3",1
"IGH.1603.IGHV3-43_IGLC:Cluster.19.IGKV3-11","B memory","P1043CD3",1
"IGH.1604.IGHV3-23_IGLC:Cluster.20.IGKV3-15","CD4 TCM","P1043CD3",1
"IGH.1605.IGHV3-15_NA.NA","B memory","P1043CD3",1
"IGH.1606.IGHV3-33_IGLC:Cluster.7.IGKV1-12","Plasmablast","P1043CD3",1
"IGH.1607.IGHV4-61_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043CD3",1
"IGH.1608.IGHV3-30_NA.NA","B intermediate","P1043CD3",1
"IGH.1610.IGHV3-15_NA.NA","B memory","P1043CD3",1
"IGH.1611.IGHV1-46_IGLC:Cluster.4.IGKV1-8","B memory","P1043CD3",1
"IGH.1613.IGHV3-74_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1614.IGHV3-43_NA.NA","B memory","P1043CD3",1
"IGH.1615.IGHV3-49_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043CD3",1
"IGH.1616.IGHV3-66_IGLC:Cluster.1.IGKV1-5","Plasmablast","P1043CD3",1
"IGH.1617.IGHV1-3_IGLC:Cluster.21.IGKV3-20","B naive","P1043CD3",1
"IGH.1618.IGHV4-34_IGLC:Cluster.5.IGKV1-9","Plasmablast","P1043CD3",1
"IGH.1619.IGHV4-31_NA.NA","Plasmablast","P1043CD3",1
"IGH.162.IGHV3-48_NA.NA","B naive","P1042MED",1
"IGH.1620.IGHV4-34_IGLC:Cluster.4.IGKV1-8","B memory","P1043CD3",1
"IGH.1621.IGHV1-18_IGLC:Cluster.8.IGKV1D-17","Plasmablast","P1043CD3",1
"IGH.1623.IGHV5-51_IGLC:Cluster.23.IGKV4-1","CD4 TCM","P1043CD3",1
"IGH.1624.IGHV3-43_IGLC:Cluster.16.IGKV2D-28","B memory","P1043CD3",1
"IGH.1625.IGHV3-49_IGLC:Cluster.15.IGKV2-30","B intermediate","P1043CD3",1
"IGH.1628.IGHV3-33_IGLC:Cluster.17.IGKV2D-29","B intermediate","P1043CD3",1
"IGH.1629.IGHV1-18_NA.NA","cDC2","P1043CD3",1
"IGH.163.IGHV1-2_NA.NA","B naive","P1042MED",1
"IGH.1631.IGHV5-51_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043CD3",1
"IGH.1632.IGHV4-59_IGLC:Cluster.7.IGKV1-12","B intermediate","P1043CD3",1
"IGH.1636.IGHV1-69-2_IGLC:Cluster.4.IGKV1-8","Plasmablast","P1043CD3",1
"IGH.1637.IGHV3-21_NA.NA","CD4 Naive","P1043CD3",1
"IGH.1639.IGHV4-61_IGLC:Cluster.19.IGKV3-11","Plasmablast","P1043CD3",1
"IGH.1640.IGHV3-43_NA.NA","B intermediate","P1043CD3",1
"IGH.1643.IGHV3-11_IGLC:Cluster.13.IGKV1D-39","Plasmablast","P1043CD3",1
"IGH.1644.IGHV3-48_IGLC:Cluster.21.IGKV3-20","B intermediate","P1043CD3",1
"IGH.1645.IGHV3-48_IGLC:Cluster.13.IGKV1D-39","Plasmablast","P1043CD3",1
"IGH.1646.IGHV4-39_IGLC:Cluster.23.IGKV4-1","CD4 TCM","P1043CD3",1
"IGH.1647.IGHV3-23_IGLC:Cluster.1.IGKV1-5","B intermediate","P1043CD3",1
"IGH.1648.IGHV3-23_IGLC:Cluster.13.IGKV1D-39","Plasmablast","P1043CD3",1
"IGH.1650.IGHV3-30_IGLC:Cluster.21.IGKV3-20","B memory","P1043CD3",1
"IGH.1651.IGHV3-33_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043CD3",1
"IGH.1653.IGHV3-23_IGLC:Cluster.28.IGLV1-47","B intermediate","P1043CD3",1
"IGH.1654.IGHV1-2_NA.NA","Plasmablast","P1043CD3",1
"IGH.1657.IGHV4-4_IGLC:Cluster.21.IGKV3-20","B naive","P1043CD3",1
"IGH.1658.IGHV5-51_IGLC:Cluster.21.IGKV3-20","B intermediate","P1043CD3",1
"IGH.166.IGHV4-39_IGLC:Cluster.13.IGKV1D-39","B naive","P1042MED",1
"IGH.1660.IGHV4-59_NA.NA","B intermediate","P1043CD3",1
"IGH.1661.IGHV3-23_IGLC:Cluster.20.IGKV3-15","B intermediate","P1043CD3",1
"IGH.1666.IGHV2-5_IGLC:Cluster.11.IGKV1D-8","B intermediate","P1043CD3",1
"IGH.1668.IGHV4-4_IGLC:Cluster.19.IGKV3-11","B memory","P1043CD3",1
"IGH.167.IGHV4-39_IGLC:Cluster.37.IGLV3-21","B naive","P1042MED",1
"IGH.1673.IGHV1-18_IGLC:Cluster.9.IGKV1-27","B memory","P1043CD3",1
"IGH.1674.IGHV3-23_NA.NA","B naive","P1043CD3",1
"IGH.1675.IGHV3-48_NA.NA","B intermediate","P1043CD3",1
"IGH.1676.IGHV3-53_IGLC:Cluster.19.IGKV3-11","B naive","P1043CD3",1
"IGH.1678.IGHV1-2_NA.NA","B intermediate","P1043CD3",1
"IGH.1679.IGHV1-69-2_IGLC:Cluster.9.IGKV1-27","B intermediate","P1043CD3",1
"IGH.1680.IGHV4-34_IGLC:Cluster.21.IGKV3-20","B memory","P1043CD3",1
"IGH.1682.IGHV1-69-2_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1683.IGHV4-39_NA.NA","B intermediate","P1043CD3",1
"IGH.1684.IGHV1-69-2_IGLC:Cluster.21.IGKV3-20","Plasmablast","P1043CD3",1
"IGH.1685.IGHV1-69-2_NA.NA","Plasmablast","P1043CD3",1
"IGH.1688.IGHV2-5_NA.NA","B memory","P1043CD3",1
"IGH.1689.IGHV3-23_IGLC:Cluster.1.IGKV1-5","CD4 TCM","P1043CD3",1
"IGH.1691.IGHV2-5_IGLC:Cluster.16.IGKV2D-28","CD4 TCM","P1043CD3",1
"IGH.1692.IGHV3-43_IGLC:Cluster.23.IGKV4-1","B intermediate","P1043CD3",1
"IGH.1693.IGHV3-33_IGLC:Cluster.13.IGKV1D-39","B memory","P1043CD3",1
"IGH.1694.IGHV3-11_NA.NA","B intermediate","P1043CD3",1
"IGH.1695.IGHV3-11_NA.NA","B intermediate","P1043CD3",1
"IGH.1696.IGHV3-30_IGLC:Cluster.1.IGKV1-16","B intermediate","P1043CD3",1
"IGH.1697.IGHV1-3_IGLC:Cluster.15.IGKV2-30","Plasmablast","P1043CD3",1
"IGH.1698.IGHV3-48_IGLC:Cluster.13.IGKV1D-39","B memory","P1043CD3",1
"IGH.1699.IGHV3-7_IGLC:Cluster.23.IGKV4-1","CD4 Naive","P1043CD3",1
"IGH.17.IGHV4-39_NA.NA","B intermediate","P1042MED",1
"IGH.1700.IGHV4-4_IGLC:Cluster.13.IGKV1D-39","B naive","P1043CD3",1
"IGH.1701.IGHV2-5_IGLC:Cluster.21.IGKV3-20","B intermediate","P1043CD3",1
"IGH.1703.IGHV3-64_IGLC:Cluster.21.IGKV3-20","B memory","P1043CD3",1
"IGH.1705.IGHV4-4_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1708.IGHV3-33_IGLC:Cluster.23.IGKV4-1","B memory","P1043CD3",1
"IGH.1709.IGHV3-73_NA.NA","Plasmablast","P1043CD3",1
"IGH.1710.IGHV1-2_NA.NA","B intermediate","P1043CD3",1
"IGH.1712.IGHV4-39_NA.NA","B intermediate","P1043CD3",1
"IGH.1714.IGHV1-69-2_IGLC:Cluster.13.IGKV1D-39","B memory","P1043CD3",1
"IGH.1718.IGHV4-59_IGLC:Cluster.13.IGKV1D-39","B memory","P1043CD3",1
"IGH.1719.IGHV5-51_NA.NA","Plasmablast","P1043CD3",1
"IGH.172.IGHV3-23_IGLC:Cluster.21.IGKV3-20","B naive","P1042MED",1
"IGH.1720.IGHV3-23_IGLC:Cluster.4.IGKV1-8","B intermediate","P1043CD3",1
"IGH.1721.IGHV1-2_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1722.IGHV3-33_IGLC:Cluster.13.IGKV1D-39","B memory","P1043CD3",1
"IGH.1723.IGHV4-61_IGLC:Cluster.19.IGKV3-11","B memory","P1043CD3",1
"IGH.1725.IGHV2-5_IGLC:Cluster.13.IGKV1D-39","B memory","P1043CD3",1
"IGH.1726.IGHV1-2_IGLC:Cluster.16.IGKV2D-28","B memory","P1043CD3",1
"IGH.1727.IGHV2-5_IGLC:Cluster.1.IGKV1-5","Plasmablast","P1043CD3",1
"IGH.1728.IGHV3-21_IGLC:Cluster.13.IGKV1D-39","B memory","P1043CD3",1
"IGH.1729.IGHV2-5_NA.NA","Plasmablast","P1043CD3",1
"IGH.1730.IGHV4-4_NA.NA","B intermediate","P1043CD3",1
"IGH.1732.IGHV1-69-2_NA.NA","B intermediate","P1043CD3",1
"IGH.1734.IGHV3-48_IGLC:Cluster.16.IGKV2D-28","B intermediate","P1043CD3",1
"IGH.1735.IGHV3-21_IGLC:Cluster.3.IGKV1-6","B intermediate","P1043CD3",1
"IGH.1736.IGHV4-61_IGLC:Cluster.17.IGKV2D-29","Plasmablast","P1043CD3",1
"IGH.1738.IGHV3-30_IGLC.47.IGKV1-27","CD4 TCM","P1043CD3",1
"IGH.1740.IGHV1-46_IGLC:Cluster.1.IGKV1-16","B intermediate","P1043CD3",1
"IGH.1741.IGHV3-33_IGLC:Cluster.23.IGKV4-1","CD8 Proliferating","P1043CD3",1
"IGH.1742.IGHV3-7_IGLC:Cluster.19.IGKV3-11","B intermediate","P1043CD3",1
"IGH.1743.IGHV4-39_NA.NA","B intermediate","P1043CD3",1
"IGH.1746.IGHV1-18_IGLC:Cluster.16.IGKV2D-28","B intermediate","P1043CD3",1
"IGH.1748.IGHV3-33_IGLC:Cluster.1.IGKV1-16","B memory","P1043CD3",1
"IGH.175.IGHV3-30_NA.NA","B naive","P1042MED",1
"IGH.1752.IGHV3-21_IGLC:Cluster.19.IGKV3-11","B intermediate","P1043CD3",1
"IGH.1753.IGHV3-49_IGLC:Cluster.10.IGKV1-33","B naive","P1043CD3",1
"IGH.1754.IGHV3-30_IGLC:Cluster.1.IGKV1-5","Plasmablast","P1043CD3",1
"IGH.1756.IGHV5-51_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1759.IGHV3-15_NA.NA","B intermediate","P1043CD3",1
"IGH.1761.IGHV4-34_IGLC:Cluster.20.IGKV3-15","B intermediate","P1043CD3",1
"IGH.1762.IGHV3-7_IGLC:Cluster.5.IGKV1-9","CD4 TCM","P1043CD3",1
"IGH.1764.IGHV1-3_IGLC:Cluster.21.IGKV3-20","B intermediate","P1043CD3",1
"IGH.1767.IGHV3-53_IGLC:Cluster.21.IGKV3-20","Plasmablast","P1043CD3",1
"IGH.1769.IGHV4-4_NA.NA","B intermediate","P1043CD3",1
"IGH.177.IGHV3-21_NA.NA","B naive","P1042MED",1
"IGH.1771.IGHV4-31_IGLC:Cluster.10.IGKV1-33","B memory","P1043CD3",1
"IGH.1772.IGHV4-39_IGLC:Cluster.12.IGKV1D-13","Plasmablast","P1043CD3",1
"IGH.1773.IGHV3-21_IGLC:Cluster.1.IGKV1-5","B intermediate","P1043CD3",1
"IGH.1774.IGHV4-34_IGLC:Cluster.20.IGKV3-15","CD4 TCM","P1043CD3",1
"IGH.1776.IGHV3-11_IGLC:Cluster.30.IGLV2-14","B intermediate","P1043CD3",1
"IGH.1777.IGHV2-5_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1779.IGHV3-23_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1780.IGHV3-43_IGLC:Cluster.5.IGKV1-9","CD4 TCM","P1043CD3",1
"IGH.1781.IGHV4-4_IGLC:Cluster.1.IGKV1-16","B intermediate","P1043CD3",1
"IGH.1784.IGHV3-33_IGLC:Cluster.20.IGKV3-15","B memory","P1043CD3",1
"IGH.1786.IGHV4-34_IGLC:Cluster.13.IGKV1D-39","Plasmablast","P1043CD3",1
"IGH.1787.IGHV3-23_NA.NA","B memory","P1043CD3",1
"IGH.179.IGHV3-23_IGLC.3.IGKV3D-20","B intermediate","P1042MED",1
"IGH.1790.IGHV3-49_IGLC:Cluster.21.IGKV3-20","Plasmablast","P1043CD3",1
"IGH.1791.IGHV4-34_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1792.IGHV4-34_IGLC:Cluster.12.IGKV1D-13","B intermediate","P1043CD3",1
"IGH.1793.IGHV4-4_IGLC:Cluster.5.IGKV1-9","B memory","P1043CD3",1
"IGH.1794.IGHV3-33_NA.NA","B intermediate","P1043CD3",1
"IGH.1795.IGHV5-51_IGLC:Cluster.16.IGKV2D-28","B intermediate","P1043CD3",1
"IGH.1796.IGHV4-34_IGLC:Cluster.7.IGKV1-12","B intermediate","P1043CD3",1
"IGH.1797.IGHV4-59_IGLC:Cluster.23.IGKV4-1","Plasmablast","P1043CD3",1
"IGH.1798.IGHV1-24_NA.NA","B intermediate","P1043CD3",1
"IGH.180.IGHV3-43_IGLC:Cluster.23.IGKV4-1","B intermediate","P1042MED",1
"IGH.1800.IGHV4-61_IGLC:Cluster.21.IGKV3-20","B intermediate","P1043CD3",1
"IGH.1801.IGHV3-43_IGLC:Cluster.30.IGLV2-14","Plasmablast","P1043CD3",1
"IGH.1802.IGHV3-15_IGLC:Cluster.21.IGKV3-20","CD4 Proliferating","P1043CD3",1
"IGH.1803.IGHV1-46_IGLC:Cluster.7.IGKV1-12","Plasmablast","P1043CD3",1
"IGH.1805.IGHV3-33_IGLC:Cluster.7.IGKV1-12","B intermediate","P1043CD3",1
"IGH.1806.IGHV1-69-2_IGLC:Cluster.29.IGLV2-11","B intermediate","P1043CD3",1
"IGH.1808.IGHV1-46_IGLC:Cluster.15.IGKV2-30","CD4 TCM","P1043CD3",1
"IGH.1809.IGHV1-69-2_NA.NA","B intermediate","P1043CD3",1
"IGH.181.IGHV3-13_IGLC:Cluster.5.IGKV1-9","B intermediate","P1042MED",1
"IGH.1810.IGHV3-48_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1811.IGHV1-2_IGLC:Cluster.32.IGLV2-23","B naive","P1043CD3",1
"IGH.1814.IGHV3-21_IGLC:Cluster.1.IGKV1-5","NK Proliferating","P1043CD3",1
"IGH.1815.IGHV1-24_IGLC:Cluster.20.IGKV3-15","CD4 TCM","P1043CD3",1
"IGH.1817.IGHV3-21_NA.NA","B memory","P1043CD3",1
"IGH.1819.IGHV3-33_NA.NA","B intermediate","P1043CD3",1
"IGH.1822.IGHV3-21_IGLC:Cluster.7.IGKV1-12","B intermediate","P1043CD3",1
"IGH.1823.IGHV1-2_NA.NA","B intermediate","P1043CD3",1
"IGH.1824.IGHV3-33_IGLC:Cluster.19.IGKV3-11","B naive","P1043CD3",1
"IGH.1826.IGHV1-69-2_NA.NA","Plasmablast","P1043CD3",1
"IGH.1828.IGHV5-51_IGLC.51.IGLV2-18","Plasmablast","P1043CD3",1
"IGH.1829.IGHV4-61_NA.NA","Plasmablast","P1043CD3",1
"IGH.1830.IGHV5-51_IGLC:Cluster.13.IGKV1D-39","CD4 TCM","P1043CD3",1
"IGH.1831.IGHV4-39_NA.NA","B naive","P1043CD3",1
"IGH.1832.IGHV1-69-2_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043CD3",1
